Bulgarian,English
следващата,the next
контрол,control
тайна,secret
изпрати,Send
внимателно,carefully
виждате,you see
макс,max
вината,guilt
опитах,I tried
оръжието,weapon
номера,number
накрая,finally
притеснявай,worry
неговата,his
единственото,the only
опит,attempt
подарък,gift
чуя,hear
проблема,problem
влезе,entered
хлапе,kid
заповед,order
система,system
почивка,rest
следи,monitor
чак,all the way
невъзможно,impossible
тоя,this
щастлива,happy
опитай,try
последния,the last
най-накрая,finally
чувам,hear
умра,died
фбр,FBI
нямах,I didn't have
нося,carry
сред,amongst
бъдещето,the future
убиеш,you kill
мери,mere
помощта,help
тихо,quietly
крака,legs
състояние,condition
момчетата,the boys
виждала,she has seen
харесваш,like
успех,Good luck
научи,learned
лекар,doctor
идеята,idea
опитам,try
субтитри,subtitles
безопасност,safety
the,ther
музика,music
услуга,service
мило,kindly
смятам,consider
книга,book
сърце,heart
сделка,transaction
реши,decide
започнем,start
кораба,ship
представя,represent
братко,brother
открих,found
господ,Lord
чувал,sack
никакъв,none
пол,gender
нима,do
из,from
сватбата,wedding
дадеш,give
миналото,past
пълна,full
продължавай,go on
спра,stop
спомням,recall
кълна,swear
екип,team
последно,last
изненада,surprise
известно,known
убият,kill
ходи,walk
събуди,awaken
силно,strongly
направите,do
пълен,full
поздравления,congratulations
страхотна,great
отвън,outside
умря,die
синко,son
гърба,back
алекс,Alex
причината,the reason
удар,stroke
относно,regarding
говорят,talking
отзад,rear
карта,card
лейтенант,lieutenant
i,i
по-скоро,rather
грижи,care
правила,rules
избяга,escape
мъртви,dead
взел,taken
нормално,normally
първа,first
съгласен,agreed
твое,your
улицата,street
мира,peace
седем,seven
позволя,allow
полиция,police
пръв,first
мъжете,the men
целият,the whole
покажи,show
току,just
хвана,caught
получих,I have received
книгата,the book
спреш,stop
гледа,watch
приключи,ended
ник,nickname
шегуваш,kidnappy
същата,the same
започваме,we're starting
никъде,nowhere
джими,Jimmy
нямате,you are not here
казваше,He said
зависи,depending
пуснете,drop
момичетата,the girls
единствената,the only
казахте,you said
нямат,do not have
телефон,telephone
разбирате,you understand
бира,beer
песен,song
глупаво,stupidly
вървя,walk
джейн,Jane
спи,sleep
хари,Harry
имахме,We had
правил,made
попитам,ask
окей,ocean
обяд,lunch
разкарай,run away
чисто,purely
търсим,seek
половин,half
различно,different
влизай,come in
сметка,account
ходиш,walk
жалко,pity
президент,President
тони,Tony
спрем,stop
приятелю,buddy
дрехи,clothing
мърдай,move
помага,helps
успя,succeeded
биха,would
тая,lone
истинска,real
позволи,permit
страхотен,awesome
отнеме,take away
огън,fire
хубав,nice
някакво,somewhat
приема,accepts
ставай,become
търсиш,Looking for
караш,you drive
глава,head
убит,killed
връзката,connection
говорих,I spoke
целта,purpose
доказателства,evidence
излиза,exit
направили,do
лоши,bad
затвори,prison
напусна,left
мъжът,the man
съпруг,spouse
боб,bean
нуждае,need
смяташ,you consider
направят,do
играе,play
намира,find
умреш,died
земя,land
най-доброто,the best
вашия,your
напротив,on the contrary
думата,word
прости,simple
срещата,meeting
начало,begining
тяло,body
силата,force
вашето,your
слава,glory
въобще,in general
дадох,give
давам,give
продължи,continued
рей,ray
величество,Majesty
другия,the other
първото,first
забравих,I forgot
променя,alter
опасност,hazard
кучка,bitch
казано,to say
надолу,down
оставиш,leave
най-добре,the best
заповядай,command
същия,the same
точка,point
чай,tea
наложи,impose
разговор,conversation
работим,work
обясня,explain
носиш,you carry
съда,court
върнете,return
побързай,hurry
най-добрият,the best
зает,busy
мистър,Mr.
можах,I could
ерик,Eric
последният,last
втори,second
стои,stand
майко,mother
пистолет,gun
магазина,store
спечели,won
герой,hero
отговор,response
погледна,looked
никаква,no
жертвата,the victim
сили,strength
мадам,ma'am
погрижа,take care
открием,find
купи,bought
сън,sleep
съпругът,the husband
сержант,sergeant
половината,half
цел,purpose
болница,hospital
майката,the mother
проверя,check
чакаме,we are waiting
красиво,beautiful
най,most
повярвай,believe
вашият,your
пусна,released
чувството,feeling
компанията,the company
крал,king
причини,reasons
естествено,naturally
опитваш,you try
по-добър,better
светлина,light
имали,is there
доведе,resulted in
линия,line
нарича,called
косата,hair
думите,the words
осем,eight
получа,get
леко,slightly
имала,she had
лоша,bad
свали,pull off
a,a
бащата,father
вино,wine
казвате,you say
дойдат,come
изведнъж,suddenly
провери,check
получиш,you get
епизод,episode
оръжия,weapons
спя,sleep
дошла,came
лондон,London
отивай,go
марк,Mark
томи,Tommy
оставим,leave
работят,work
живеем,we live
използвам,I use
мъжа,man
доказателство,evidence
слънцето,the sun
г-ца,Ms.
млъквай,shut up
джейк,Jake
бягай,run
луда,crazy
ричард,Richard
опасно,dangerously
кучи,dog
d,d
еди,unit
мис,Miss
следващият,the next
новата,the new
мозъка,brain
необходимо,necessary
последното,the last
шон,sewn
жертва,victim
играеш,you play
спиш,you sleep
намерихме,We have found
продължава,continues
рожден,birthday
съвет,advice
познавате,know
масата,mass
чудя,wonder
виждали,have seen
срещна,meeting
ченге,cop
плати,pay
апартамента,apartment
изчезна,disappeared
станеш,you become
боклук,trash
секси,sexy
ъм,uh
случайно,accidentally
напоследък,lately
остани,remain
риба,fish
писмо,letter
заповядайте,Welcome
погледнете,look at
боя,paint
търсят,seek
тия,those
видят,see
операция,surgery
ах,ah
уау,wow
помоли,ask
отиди,go
някак,somehow
пистолета,gun
душата,the soul
можа,could
звезда,star
донеса,bring
тоалетната,toilet
болка,pain
париж,Paris
продължим,continued
правилата,rules
джони,Johnny
свободен,free
дал,ghost
питаш,you ask
боби,Bobby
начина,way
страхувам,be afraid
хм,hmm
партито,party
започне,start
живеят,live
стара,old
дупка,hole
джим,jim
шега,joke
нуждая,need
задръж,hold
именно,exactly
крис,Chris
страшно,terribly
загуби,losses
техните,their
небето,heaven
храната,the food
достъп,access
очаква,awaits
съдбата,fate
училището,school
ада,hell
махаме,wave
забравя,forgetting
прекрасна,lovely
хотел,hotel
армията,army
сградата,the building
отлично,excellent
кучето,the dog
кейт,kate
засега,for now
бавно,slowly
гей,gay
знаел,he knew
светът,world
шефа,boss
отбор,team
мои,mine
средата,medium
сезон,season
болен,sick
нататък,further
бой,fight
бременна,pregnant
съжаление,regret
полковник,colonel
ехо,echo
дълбоко,deeply
съществува,exist
силен,strong
вън,out
оу,OU
гадже,boyfriend
ч,h
вечерта,in the evening
моли,Molly
адам,Adam
умира,dies
най-добрите,the best
получава,gets
отидох,I went
заслужава,deserves
к,k
списъка,list
вървете,go
показва,indicates
играя,play
леля,aunt
мислеше,he was thinking
глупав,stupid
своите,its
извини,excuses
прозореца,window
съпругата,wife
лудост,madness
предпочитам,prefer
неговите,his
данни,data
етаж,floor
последен,last
стигнем,reach
сащ,USA
иди,go
клуб,club
вярва,believe
уил,Will
карам,drive
успях,I succeeded
глас,voice
чаша,glass
г-не,sir
открия,find out
мир,peace
помогнем,help
опитаме,we try
закона,law
разбрано,understandably
поглед,look
хвърли,throw
системата,the system
правителството,government
млад,young
почина,died
дрехите,the clothes
гората,forest
купя,buy
вина,guilt
налага,impose
наричат,called
вляза,come in
ким,kim
решението,decision
влез,get in
наркотици,drugs
студено,coldly
самолета,aircraft
трима,three
новия,new
енергия,energy
дълга,long
умрял,dead
аха,AHA
приятеля,friend
метра,meter
специално,specially
срещнах,I met
полза,advantage
движи,move
стари,old
ниво,level
справи,tackle
господарю,lord
убива,kill
използваме,we use
ходим,walk
макар,although
дон,don
даниел,Daniel
центъра,center
обичат,love
клас,class
питие,drink
шеф,boss
изглеждат,they look
най-добрата,the best
истинско,real
поради,due to
дама,lady
надежда,hope
казвал,said
въздух,air
яко,cool
стоя,stand
бизнеса,business
възраст,age
живи,alive
списък,list
едни,one
битка,battle
you,you
започнах,I started
очаквах,I was expecting
дето,where
мине,pass
госпожице,lady
използваш,you use
стават,become
умен,smart
наш,ours
благодарение,thanks
коли,cars
половина,half
филма,movie
документи,documents
малката,the little
понеже,because
нагоре,up
поиска,requested
движение,movement
сигурни,secure
изглеждам,look like
вземат,take
робърт,Robert
въпросът,issue
падна,fell
играем,play
оказа,objection
откри,discovered
някое,any
църквата,church
открихме,We have found
сложа,put on
мислих,I thought
доверие,confidence
единствения,the only
английски,English
чантата,bag
мислим,think
своята,its
донеси,bring
желание,desire
пътуване,trip
хубави,beautiful
дух,spirit
позиция,position
сбогом,farewell
разлика,difference
бъдеще,future
специален,special
уважение,respect
новина,news
кларк,clark
независимо,independently
бара,bar
кутия,box
смята,considers
сине,son
животни,animals
лъжеш,you lie
луис,Luis
тука,here
единствено,only
плана,plan
престъпление,offense
пълно,in full
слушайте,listen
дело,case
карл,Carl
високо,high
знак,sign
рейчъл,Rachel
директор,director
разберат,understand
форма,form
търпение,patience
неговото,his
документите,the documents
запознаем,meet
гости,guests
останете,remain
части,parts
млада,young
ядосан,angry
виждаме,we see
справиш,tackle
използват,used
чуеш,you hear
изляза,go out
платя,pay
познава,know
бихме,we would
мисия,mission
обажда,call
чувство,feeling
скот,scott
свобода,freedom
мария,Maria
цена,price
улица,Street
снимката,photo
кевин,Kevin
следа,trace
прибера,harvest
парче,piece
чудесна,wonderful
здраво,firmly
свидетел,witness
пия,drink
стигна,reached
емили,Emily
мат,mat
ok,OK
ситуация,situation
самолет,aircraft
томас,Thomas
останали,remaining
инцидент,incident
тайни,secrets
оценявам,appreciate
магазин,store
сан,san
видяхте,I saw you
сделката,transaction
оставих,have left
ха,ha
тръгнеш,you go
клиент,client
коса,hair
карай,drive
мнение,opinion
краля,king
попита,asked
накъде,where
мартин,Martin
гаджето,boyfriend
представи,representation
отидете,go
харесват,like
изчакай,Wait
око,eye
апартамент,apartment
предлагам,suggest
неприятности,trouble
колежа,college
болката,pain
могла,could
светлината,light
дадем,give
д,e
цели,goal
яде,eaten
носа,nose
приятелят,the friend
излез,exit
ченгетата,cops
ролята,role
влиза,enters
стоиш,you stand
силите,forces
първите,the first
обзалагам,bet
люк,Luke
искали,liked
милион,million
най-добрия,the best
музиката,music
клуба,club
направете,make
вечерята,dinner
ситуацията,the situation
леле,aunt
разберете,find out
неговия,his
обичате,you love
закуска,breakfast
следва,followed
щастливи,happy
наздраве,cheers
петък,friday
убиецът,killer
отдел,department
спря,stopped
партньор,partner
красив,beautiful
надявах,I hoped
ида,and yes
могли,could
дръжте,keep
душа,soul
замина,leave
